course_id,course,course_code,course_starts,course_ends,course_length,credit,learning_hours,cost,cost_canada,cost_intl,maximum_capacity,coure_code_enrolment,course_enrolment,revenue,minimum_enrolment,on_demand,on_demand_duration,Month_Diff
534,FONP03,FONP,201601,201605,112,0.75,40,399,399,399,500,25,,,,,,0
535,FONP03,FONP,201603,201606,112,0.75,40,399,399,399,500,48,,,,,,2
562,FONP01,FONP,201605,201609,112,0.75,40,399,399,399,500,73,,,,,,4
567,FONP01,FONP,201607,201610,112,0.75,40,399,399,399,500,43,,,,,,6
596,FONP02,FONP,201609,201701,112,0.75,40,399,399,399,500,39,,,,,,8
606,FONP02,FONP,201610,201702,112,0.75,40,399,399,399,500,56,,,,,,9
636,FONP03,FONP,201701,201705,112,0.75,40,399,399,399,500,14,,,,,,12
640,FONP03,FONP,201703,201706,112,0.75,40,399,399,399,500,131,,,,,,14
651,FONP01,FONP,201705,201709,112,0.75,40,399,399,399,500,88,,,,,,16
678,FONP01,FONP,201707,201710,112,0.75,40,399,399,399,500,47,,,,,,18
679,FONP02,FONP,201709,201801,119,0.75,40,399,399,399,500,95,,,,,,20
719,FONP02,FONP,201710,201802,114,0.75,40,399,399,399,500,56,,,,,,21
752,FONP02,FONP,201712,201712,16,0.75,40,399,399,399,10,3,,,,,,23
720,FONP03,FONP,201801,201805,112,0.75,40,399,399,399,500,50,,,,,,24
